csv,epc,type,rssi
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007474,50%,-37.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007474,75%,-37.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007474,max,-35.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007475,count,12.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007475,mean,-42.75
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007475,std,2.3403573930647275
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007475,min,-47.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007475,25%,-43.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007475,50%,-42.25
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007475,75%,-41.375
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007475,max,-39.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106010145824091879101798,count,2.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106010145824091879101798,mean,-68.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106010145824091879101798,std,0.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106010145824091879101798,min,-68.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106010145824091879101798,25%,-68.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106010145824091879101798,50%,-68.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106010145824091879101798,75%,-68.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106010145824091879101798,max,-68.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020249017772789051840,count,4.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020249017772789051840,mean,-66.75
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020249017772789051840,std,2.533114025595111
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020249017772789051840,min,-68.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020249017772789051840,25%,-68.125
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020249017772789051840,50%,-67.75
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020249017772789051840,75%,-66.375
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020249017772789051840,max,-63.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841853,count,4.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841853,mean,-67.875
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841853,std,0.25
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841853,min,-68.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841853,25%,-68.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841853,50%,-68.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841853,75%,-67.875
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841853,max,-67.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841857,count,1.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841857,mean,-69.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841857,std,
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x106020349010851617841857,min,-69.5
