csv,epc,type,rssi
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841857,mean,-67.38888888888889
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841857,std,1.615893285805443
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841857,min,-69.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841857,25%,-69.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841857,50%,-66.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841857,75%,-66.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841857,max,-66.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841860,count,2.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841860,mean,-69.25
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841860,std,0.3535533905932738
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841860,min,-69.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841860,25%,-69.375
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841860,50%,-69.25
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841860,75%,-69.125
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x106020349010851617841860,max,-69.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591867,count,1.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591867,mean,-64.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591867,std,
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591867,min,-64.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591867,25%,-64.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591867,50%,-64.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591867,75%,-64.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591867,max,-64.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591868,count,11.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591868,mean,-64.4090909090909
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591868,std,1.6706014159305296
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591868,min,-66.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591868,25%,-65.25
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591868,50%,-64.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591868,75%,-64.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591868,max,-61.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591869,count,18.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591869,mean,-59.361111111111114
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591869,std,3.4886604354661586
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591869,min,-65.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591869,25%,-62.875
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591869,50%,-57.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591869,75%,-57.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591869,max,-55.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591870,count,10.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591870,mean,-61.4
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591870,std,1.3080944580232388
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591870,min,-63.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591870,25%,-62.375
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591870,50%,-61.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591870,75%,-60.625
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010145263633097591870,max,-59.5
