csv,epc,type,rssi
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661864,min,-66.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661864,25%,-65.375
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661864,50%,-62.75
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661864,75%,-62.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661864,max,-60.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661865,count,5.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661865,mean,-65.7
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661865,std,2.252776065213762
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661865,min,-68.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661865,25%,-68.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661865,50%,-65.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661865,75%,-63.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661865,max,-63.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661866,count,1.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661866,mean,-66.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661866,std,
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661866,min,-66.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661866,25%,-66.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661866,50%,-66.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661866,75%,-66.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010145263633097661866,max,-66.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249018591604251877,count,19.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249018591604251877,mean,-63.05263157894737
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249018591604251877,std,2.114071485455029
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249018591604251877,min,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249018591604251877,25%,-64.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249018591604251877,50%,-62.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249018591604251877,75%,-61.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249018591604251877,max,-60.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249722621700351875,count,9.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249722621700351875,mean,-61.888888888888886
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249722621700351875,std,1.2190615698606495
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249722621700351875,min,-64.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249722621700351875,25%,-63.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010249722621700351875,50%,-61.5
